Id,Nom,Code,AreaNumber,commune,zone,ville,a_geom
4c2f2d35-34f5-4e75-be5e-6fa5770d65f9,Château d'eau,CD,102,,,Ali Sabieh,f
483bac23-25a4-4906-a700-121f236f3e21,Quartier Ali,QA,121,,,Ali Sabieh,f
13c138f0-96a6-45ba-9120-b0c457cd0f3d,Quartier Shell,QS,,,,Ali Sabieh,f
c2488599-c32e-4a0a-b761-4c7a06d705b8,BACHE A EAU,BE,612,BALBALA,Balbala 6,Djibouti,f
9f60d7e6-e922-4909-af7d-cd62f56e1b33,Bahache,BA,607,BALBALA,Balbala 6,Djibouti,f
1e222daa-c0cd-48d8-b521-323ca52efd6e,BALBALA ANCIEN,BN,615,BALBALA,Balbala 6,Djibouti,f
b74f777c-2119-4782-a367-ac7e5ec4e6df,BALBALA Q11,BL,614,BALBALA,Balbala 6,Djibouti,f
63e360d1-cee4-48f8-9446-bfc3ed74307e,BALBALA Q 5,BQ,511,BALBALA,Balbala 5,Djibouti,f
9c7c8b4c-369e-4ae4-b86c-cc3725cbc94d,Cheik Moussa,CM,512,BALBALA,Balbala 5,Djibouti,t
2152ac52-3184-4240-837f-0f7fa86e65f5,Cimetière,CI,903,BALBALA,Aires speciales,Djibouti,f
5a13ea8c-e165-4fbe-b251-84e10c0568f0,Cite Barwaqo,CB,509,BALBALA,Balbala 5,Djibouti,f
c3be283f-1190-44e0-aff4-f91b8bc636da,Cité Cheikh Osman,CQ,618,BALBALA,Balbala 6,Djibouti,t
a120e7f0-e431-4e5e-ac9a-bb1ba3f03c23,CITE C. MOUSSA,CJ,,BALBALA,,Djibouti,f
d9b6b8be-8aaa-4763-b2fc-7566359b9ab5,Cité Doumeira,DO,503,BALBALA,Balbala 5,Djibouti,t
c7713e6c-2de2-4160-95b9-173f93009e52,Cité Gar Gar,GG,601,BALBALA,Balbala 6,Djibouti,t
d9e734e8-8be9-4ea2-aecb-e7e69006ef7a,CITE HAYABLEY,CY,,BALBALA,,Djibouti,f
c61c5f31-6a65-462d-854f-1ab3a57516b0,CITE HODAN,CN,604,BALBALA,Balbala 6,Djibouti,f
f8d7bfe3-1974-411b-b0ea-d54fecf586a2,Cité Luxembourg,CL,608,BALBALA,Balbala 6,Djibouti,f
2081ff69-931f-489f-8371-1a45d0dde446,Dôgley,DG,507,BALBALA,Balbala 5,Djibouti,t
c5f659c3-c665-481d-8d69-7b7cfbf4bbc0,Harirad,HI,516,BALBALA,Balbala 5,Djibouti,t
c542bc30-5d2a-4337-93df-4b51d876d05f,HAYABLEH,HY,508,BALBALA,Balbala 5,Djibouti,f
88245d0d-45a5-4713-84ee-38a4bb1c0087,Layableh,LY,506,BALBALA,Balbala 5,Djibouti,t
af9d4b44-68ab-4e2b-a4c8-690958442efb,Lotissement 55 Logements,LL,,BALBALA,,Djibouti,f
612752e9-fc66-4700-9016-8765e5f6465d,MIDJADHERE,MI,,BALBALA,,Djibouti,f
695362ce-bd45-42a0-beb4-9d3769b40e2a,Nasib Wanag,NW,514,BALBALA,Balbala 5,Djibouti,t
8930b9a5-3bc1-43de-be75-cb7e433a4b2b,PHARE DE BALBALA,PE,,BALBALA,,Djibouti,f
bbda0d75-3d4e-4c20-82ac-6d37e4713c6c,PK12,PK,603,BALBALA,Balbala 6,Djibouti,f
07b4fb9a-c111-4a9f-9a60-c1ebd7f482d6,Place Mahadsanid,PM,515,BALBALA,Balbala 5,Djibouti,t
39d30770-cdaf-42f2-998f-3ace877f80d0,Pompage,PO,610,BALBALA,Balbala 6,Djibouti,f
7db00ec7-10c3-4475-897c-b689f11b5e18,Quarawil,QU,609,BALBALA,Balbala 6,Djibouti,f
