nomXlsx,areaNumber,zoneCle,communeXlsx,methode,confiance,quartierId,nomBase,communeBase,areaNumberActuel
Heron,101,ras-dika-1,Ras-Dika,normalisation,sur,3c0954d9-f1ed-41ce-b431-b34c0f1be12f,Héron,RAS DIKA,
Marabout,102,ras-dika-1,Ras-Dika,normalisation,sur,42513af6-59a7-4a05-b741-dea68fe42709,Marabout,RAS DIKA,
Gare,103,ras-dika-1,Ras-Dika,aucune,,,,,
Serpent,104,ras-dika-1,Ras-Dika,alias,sur,9425251a-7244-42f7-bcf6-33a19de16f87,Plateau du Serpent,RAS DIKA,
Republic,105,ras-dika-1,Ras-Dika,alias,sur,f76b152b-4992-4671-bd6b-4f721a5cebe1,Lotissement de la République,RAS DIKA,
Central Djibouti,106,ras-dika-1,Ras-Dika,alias,sur,f1d3b61d-415c-4eb6-9ae2-0bae21c51a01,Centre Commercial et Admnistratif,RAS DIKA,
Cite Sacuudi,201,boulaos-2,Boulaos,alias,sur,1e912a31-2f0b-462a-8c25-f8a166172a46,Cité Saoudienne,BOULAOS,
Elmguella,202,boulaos-2,Boulaos,alias,sur,7286cbaa-f32b-453f-a640-7b1f771a2f86,Einguela,,103
Q1,203,boulaos-2,Boulaos,alias,sur,3c6133f0-9733-44d8-9d03-576a21ea093b,Quartier 1,BOULAOS,
Q2,204,boulaos-2,Boulaos,alias,sur,a6668e0a-2bed-442b-af6f-a5d4b13660e4,Quartier 2,BOULAOS,
Q3,205,boulaos-2,Boulaos,alias,sur,43432c44-abae-4cad-86c9-b3de3e25ded4,Quartier 3,BOULAOS,
Q4,206,boulaos-2,Boulaos,alias,sur,f39b6559-cad1-44b3-bc79-f90e12da53ff,Quartier 4,BOULAOS,
Brise de mer,207,boulaos-2,Boulaos,alias,sur,03030c58-b26d-4ccb-986f-8c8b49d5f90a,Brise de mer 1,RAS DIKA,
Cite FNP,301,boulaos-3,Boulaos,normalisation,sur,e06ebf26-5a3a-478f-ad94-e5be0ddca1ee,Cité F.N.P.,BOULAOS,
Cite Sacuudi 2,302,boulaos-3,Boulaos,aucune,,,,,
Arhiba,303,boulaos-3,Boulaos,alias,sur,6926b403-7e07-4fae-bc6e-7956d00e70f6,Cité d' Arhiba,BOULAOS,
Makka Al Moukarama,304,boulaos-3,Boulaos,alias,sur,3ad79a0c-6382-487b-8440-4b4832a509fa,Cité Makka al Moukarama,BOULAOS,
Riyad,305,boulaos-3,Boulaos,aucune,,,,,
Wadajir,306,boulaos-3,Boulaos,alias,sur,578d2c93-b7a0-4373-bb49-72f01df01c0f,Wadagir,BOULAOS,
Poudriere,307,boulaos-3,Boulaos,alias,sur,6d0878aa-cba1-4621-9f11-6f57909e1c98,Cité Poudrière,BOULAOS,
Q5,308,boulaos-3,Boulaos,alias,sur,8ce8640d-8ccf-4f6a-80bb-35e2d3e2190c,Quartier 5,BOULAOS,
Q6,309,boulaos-3,Boulaos,alias,sur,c4ad6eaa-4d1b-4222-aae7-4afc8d731c69,Quartier 6,BOULAOS,
Q7,310,boulaos-3,Boulaos,alias,sur,deadd2cc-fefc-403b-af2a-b7fcb9b6769f,Quartier 7,BOULAOS,101
Brise de mer 2,311,boulaos-3,Boulaos,proximite,a-relire,03030c58-b26d-4ccb-986f-8c8b49d5f90a,Brise de mer 1,RAS DIKA,
Palmeraie,312,boulaos-3,Boulaos,normalisation,sur,0518b057-a4e1-44a4-b12b-185b8477afdb,Palmeraie,BOULAOS,
Gachamaleh,313,boulaos-3,Boulaos,alias,sur,657027a3-4f4f-47e9-9ea4-b65bac253528,Cité Gachamaleh,BOULAOS,
Kartileh (Q7 bis),314,boulaos-3,Boulaos,alias,sur,c37cd747-37c2-42d0-b8c5-e5371598281b,Quartier 7 Bis,BOULAOS,
Stade,315,boulaos-3,Boulaos,alias,sur,082ad830-f2e7-4c53-b132-5bc9df0b1242,Cité du Stade,BOULAOS,
Guelleh Batal,316,boulaos-3,Boulaos,normalisation,sur,9b4fcb01-b4ba-4b81-a493-c781e4844b2d,Guelleh Batal,BOULAOS,
Industrial Zone,317,boulaos-3,Boulaos,alias,sur,d0fc3bac-5549-4e23-bfb3-84705db1d6ad,Zone Industrielle Sud,BOULAOS,
Ambouli,401,boulaos-4,Boulaos,normalisation,sur,fa5425ac-16f1-4515-9f2f-e72b606eabfd,Ambouli,BOULAOS,
Cite Progres,402,boulaos-4,Boulaos,normalisation,sur,a273b5c0-952c-48dd-a05e-a4436126fc96,Cité Progrès,BOULAOS,
Gabode,403,boulaos-4,Boulaos,proximite,a-relire,fd4b2d25-4645-4a63-98bc-c205a009803b,Gabode 5,BOULAOS,
Haramous,404,boulaos-4,Boulaos,normalisation,sur,70b45b03-e4f3-40f7-81ab-fed2ce07a411,Haramous,BOULAOS,
Djebel,405,boulaos-4,Boulaos,normalisation,sur,42a60c14-977f-47d4-8945-ec7b6f00846c,Djebel,BOULAOS,
Aerogare,406,boulaos-4,Boulaos,alias,sur,24c56b28-0888-46fe-99b7-80e20f537949,Lotissement de l'Aérogare,BOULAOS,
Aviation,407,boulaos-4,Boulaos,alias,sur,83b15506-8088-4ea3-a1d7-58569f25ee38,Lotissement de l' Aviation,BOULAOS,
Fiyetnam,408,boulaos-4,Boulaos,aucune,,,,,
City Saba,501,balbala-5,Balbala,aucune,,,,,
Uma Salma,502,balbala-5,Balbala,absent-en-base,sur,,,,
Doumeira,503,balbala-5,Balbala,absent-en-base,sur,,,,
Cité Rawabi,504,balbala-5,Balbala,absent-en-base,sur,,,,
Warabaley,505,balbala-5,Balbala,absent-en-base,sur,,,,
Layabley,506,balbala-5,Balbala,absent-en-base,sur,,,,
Dogley,507,balbala-5,Balbala,absent-en-base,sur,,,,
Hayabley,508,balbala-5,Balbala,alias,sur,c542bc30-5d2a-4337-93df-4b51d876d05f,HAYABLEH,BALBALA,
Cite Barwaqo,509,balbala-5,Balbala,normalisation,sur,5a13ea8c-e165-4fbe-b251-84e10c0568f0,Cite Barwaqo,BALBALA,
Gouled,510,balbala-5,Balbala,aucune,,,,,
Balbala Q5,511,balbala-5,Balbala,normalisation,sur,63e360d1-cee4-48f8-9446-bfc3ed74307e,BALBALA Q 5,BALBALA,
Cheik Moussa,512,balbala-5,Balbala,normalisation,sur,9c7c8b4c-369e-4ae4-b86c-cc3725cbc94d,Cheik Moussa,,102
Afar Mitirley,513,balbala-5,Balbala,aucune,,,,,
Nassib Wanag,514,balbala-5,Balbala,absent-en-base,sur,,,,
Place Mahadsanid,515,balbala-5,Balbala,absent-en-base,sur,,,,
Hariirad,516,balbala-5,Balbala,absent-en-base,sur,,,,
Gar Gar,601,balbala-6,Balbala,absent-en-base,sur,,,,
Shabeley,602,balbala-6,Balbala,absent-en-base,sur,,,,
PK12,603,balbala-6,Balbala,normalisation,sur,bbda0d75-3d4e-4c20-82ac-6d37e4713c6c,PK12,BALBALA,
Hodan,604,balbala-6,Balbala,alias,sur,c61c5f31-6a65-462d-854f-1ab3a57516b0,CITE HODAN,BALBALA,
Wahle Daba,605,balbala-6,Balbala,alias,sur,07f69413-5f13-4220-a6f7-002779b51b44,Wahladaba Sud,BALBALA,
Cagadaalis,606,balbala-6,Balbala,aucune,,,,,
Bahache,607,balbala-6,Balbala,normalisation,sur,9f60d7e6-e922-4909-af7d-cd62f56e1b33,Bahache,BALBALA,
Cite Luxembourg,608,balbala-6,Balbala,normalisation,sur,f8d7bfe3-1974-411b-b0ea-d54fecf586a2,Cité Luxembourg,BALBALA,
Quarawil,609,balbala-6,Balbala,normalisation,sur,7db00ec7-10c3-4475-897c-b689f11b5e18,Quarawil,BALBALA,
Pompage,610,balbala-6,Balbala,normalisation,sur,39d30770-cdaf-42f2-998f-3ace877f80d0,Pompage,BALBALA,
Bambada,611,balbala-6,Balbala,aucune,,,,,
Bache A Eau,612,balbala-6,Balbala,normalisation,sur,c2488599-c32e-4a0a-b761-4c7a06d705b8,BACHE A EAU,BALBALA,
T3,613,balbala-6,Balbala,normalisation,sur,d4c274fd-2e9a-4873-ba84-a3f4834938fc,T3,BALBALA,
Balbala Q11,614,balbala-6,Balbala,normalisation,sur,b74f777c-2119-4782-a367-ac7e5ec4e6df,BALBALA Q11,BALBALA,
Balbala Caadi,615,balbala-6,Balbala,alias,sur,1e222daa-c0cd-48d8-b521-323ca52efd6e,BALBALA ANCIEN,BALBALA,
Barwaqo 2,616,balbala-6,Balbala,proximite,a-relire,5a13ea8c-e165-4fbe-b251-84e10c0568f0,Cite Barwaqo,BALBALA,
Cité Nassib,617,balbala-6,Balbala,aucune,,,,,
Cheik Osman,618,balbala-6,Balbala,aucune,,,,,
Port of Djibouti,901,special-9,,aucune,,,,,
Dry Port,902,special-9,,normalisation,sur,2b28f32d-f58b-4740-97ef-fe2452598807,DRY PORT,BOULAOS,
Cemetery,903,special-9,,alias,sur,2152ac52-3184-4240-837f-0f7fa86e65f5,Cimetière,BALBALA,
Djibouti-Ambouli International Airport,904,special-9,,aucune,,,,,
