Id,Nom,Code,AreaNumber,commune
a120e7f0-e431-4e5e-ac9a-bb1ba3f03c23,CITE C. MOUSSA,CJ,,BALBALA
d9e734e8-8be9-4ea2-aecb-e7e69006ef7a,CITE HAYABLEY,CY,,BALBALA
af9d4b44-68ab-4e2b-a4c8-690958442efb,Lotissement 55 Logements,LL,,BALBALA
612752e9-fc66-4700-9016-8765e5f6465d,MIDJADHERE,MI,,BALBALA
8930b9a5-3bc1-43de-be75-cb7e433a4b2b,PHARE DE BALBALA,PE,,BALBALA
b25a0133-a147-4963-a91f-d85c0cfed192,WAHLADABA N.,WN,,BALBALA
a03fe6ab-0cd8-4ae5-ae11-449f53b41d7b,13 éme DBLE,ED,,BOULAOS
ed291971-9dc5-44b7-9e81-adb71775cdee,Boulaos,BO,,BOULAOS
6352e681-eb80-4543-8c34-13bcd71826d8,Cimetière d' Ambouli,CA,,BOULAOS
e53ca92f-b4f1-4fd3-a248-7d3fcf48f113,Cité Hache,CH,,BOULAOS
e9b1da08-7dee-499e-8993-042ce6cac1d6,Cité Wadagir 1,CW,,BOULAOS
a5e12271-65e4-4e23-ad1f-cf7efbb42a2e,Cité Wadagir 2,CT,,BOULAOS
241bddcf-1f4c-49ee-9b34-4354f363776b,Cité Willo,CE,,BOULAOS
133247f4-19d6-4506-a7a2-7164dea3013b,Gabode 1,GA,,BOULAOS
8d5ee9f2-36b7-41c7-b047-79dd29030783,Gabode 2,GB,,BOULAOS
f6abc27d-b54c-4186-928f-ab15f8b30e94,Gabode 3,GO,,BOULAOS
378376ea-8f8a-4f15-bdd2-3e078ed45de7,Gabode 4,GD,,BOULAOS
82096341-426c-47d9-b5ff-68e2d99e8b86,Les Salines Ouest,LS,,BOULAOS
5338a704-c7a5-4a24-bccf-c7e640d05760,Lotissement d' Ambouli,LD,,BOULAOS
5514b90e-12b4-45fc-a33d-3bf50da6dad8,Lotissement du Bourakibir,LU,,BOULAOS
9bead72a-a2b0-44d4-bae9-071d8ff2fb91,Lotissement du Quartier 7 Sud,LQ,,BOULAOS
bdcea81c-759f-4609-9e70-5ad7907372dc,Quartier Brière de l'Isle,QL,,BOULAOS
c4a325d9-3cfb-43a2-855b-5ac542b6f9bd,Ilôt du Héron,ID,,RAS DIKA
42578684-b4ba-4367-a8c7-152012bde06a,La Plaine,LP,,RAS DIKA
