ogc_fid,nom,commune,region,nb_parts,srid,valide
75,13 éme DBLE,BOULAOS,DJIBOUTI,1,32638,t
78,Ambouli,BOULAOS,DJIBOUTI,1,32638,t
116,Bâche à eau,BALBALA,DJIBOUTI,1,32638,t
96,Bahache,BALBALA,DJIBOUTI,1,32638,t
108,BALBALA ancien,BALBALA,DJIBOUTI,1,32638,t
104,BALBALA Q 11,BALBALA,DJIBOUTI,1,32638,t
73,BALBALA Q 5,BALBALA,DJIBOUTI,1,32638,t
32,Boulaos,BOULAOS,DJIBOUTI,1,32638,t
17,Brise de mer 1,RAS DIKA,DJIBOUTI,1,32638,t
16,Centre Commercial et Admnistratif,RAS DIKA,DJIBOUTI,1,32638,t
74,Cheikh Moussa,BALBALA,DJIBOUTI,1,32638,t
90,Cimetière,BALBALA,DJIBOUTI,1,32638,t
62,Cimetière d' Ambouli,BOULAOS,DJIBOUTI,1,32638,t
68,Cite Barwaqo,BALBALA,DJIBOUTI,1,32638,t
106,Cité Cheikh Osman,BALBALA,DJIBOUTI,1,32638,t
42,Cité d' Arhiba,BOULAOS,DJIBOUTI,1,32638,t
86,Cité Doumeira,BALBALA,DJIBOUTI,1,32638,t
46,Cité du Stade,BOULAOS,DJIBOUTI,1,32638,t
38,Cité F.N.P.,BOULAOS,DJIBOUTI,1,32638,t
58,Cité Gachamaleh,BOULAOS,DJIBOUTI,1,32638,t
85,Cité Gar Gar,BALBALA,DJIBOUTI,1,32638,t
39,Cité Hache,BOULAOS,DJIBOUTI,1,32638,t
102,Cité Hodane 1,BALBALA,DJIBOUTI,1,32638,t
87,Cité Hodane 2,BALBALA,DJIBOUTI,1,32638,t
89,Cité Luxembourg,BALBALA,DJIBOUTI,1,32638,t
43,Cité Makka al Moukarama,BOULAOS,DJIBOUTI,1,32638,t
51,Cité Poudrière,BOULAOS,DJIBOUTI,1,32638,t
70,Cité Progrès,BOULAOS,DJIBOUTI,1,32638,t
31,Cité Saoudienne,BOULAOS,DJIBOUTI,1,32638,t
55,Cité Wadagir 1,BOULAOS,DJIBOUTI,1,32638,t
52,Cité Wadagir 2,BOULAOS,DJIBOUTI,1,32638,t
64,Cité Willo,BOULAOS,DJIBOUTI,1,32638,t
83,Djebel,BOULAOS,DJIBOUTI,1,32638,t
56,Dôgley,BALBALA,DJIBOUTI,1,32638,t
37,DRY PORT,BOULAOS,DJIBOUTI,1,32638,t
33,Einguela 1,BOULAOS,DJIBOUTI,1,32638,t
30,Einguela 2,BOULAOS,DJIBOUTI,1,32638,t
49,Gabode 1,BOULAOS,DJIBOUTI,1,32638,t
61,Gabode 2,BOULAOS,DJIBOUTI,1,32638,t
69,Gabode 3,BOULAOS,DJIBOUTI,1,32638,t
71,Gabode 4,BOULAOS,DJIBOUTI,1,32638,t
77,Gabode 5,BOULAOS,DJIBOUTI,1,32638,t
59,Guelleh Batal,BOULAOS,DJIBOUTI,1,32638,t
67,Haramous,BOULAOS,DJIBOUTI,1,32638,t
79,Harirad,BALBALA,DJIBOUTI,1,32638,t
66,Hayabley,BALBALA,DJIBOUTI,1,32638,t
91,Hayabley Quartier Sauvage,BALBALA,DJIBOUTI,1,32638,t
1,Héron,RAS DIKA,DJIBOUTI,1,32638,t
2,Ilôt du Héron,RAS DIKA,DJIBOUTI,1,32638,t
13,La Plaine,RAS DIKA,DJIBOUTI,1,32638,t
53,Layableh,BALBALA,DJIBOUTI,1,32638,t
36,Les Salines Ouest,BOULAOS,DJIBOUTI,1,32638,t
80,Lotissement 55 Logements,BALBALA,DJIBOUTI,1,32638,t
76,Lotissement d' Ambouli,BOULAOS,DJIBOUTI,1,32638,t
103,Lotissement de l'Aérogare,BOULAOS,DJIBOUTI,1,32638,t
11,Lotissement de la République,RAS DIKA,DJIBOUTI,1,32638,t
98,Lotissement de l' Aviation,BOULAOS,DJIBOUTI,1,32638,t
50,Lotissement du Bourakibir,BOULAOS,DJIBOUTI,1,32638,t
57,Lotissement du Quartier 7 Sud,BOULAOS,DJIBOUTI,1,32638,t
7,Marabout,RAS DIKA,DJIBOUTI,1,32638,t
94,Nasib Wanag,BALBALA,DJIBOUTI,1,32638,t
54,Palmeraie,BOULAOS,DJIBOUTI,1,32638,t
82,PK12,BALBALA,DJIBOUTI,1,32638,t
100,Place Mahadsanid,BALBALA,DJIBOUTI,1,32638,t
10,Plateau du Serpent,RAS DIKA,DJIBOUTI,1,32638,t
93,Pompage,BALBALA,DJIBOUTI,1,32638,t
97,Quarawil,BALBALA,DJIBOUTI,1,32638,t
29,Quartier 1,BOULAOS,DJIBOUTI,1,32638,t
28,Quartier 2,BOULAOS,DJIBOUTI,1,32638,t
34,Quartier 3,BOULAOS,DJIBOUTI,1,32638,t
35,Quartier 4,BOULAOS,DJIBOUTI,1,32638,t
40,Quartier 5,BOULAOS,DJIBOUTI,1,32638,t
41,Quartier 6,BOULAOS,DJIBOUTI,1,32638,t
47,Quartier 7,BOULAOS,DJIBOUTI,1,32638,t
65,Quartier 7 Bis,BOULAOS,DJIBOUTI,1,32638,t
101,Quartier Brière de l'Isle,BOULAOS,DJIBOUTI,1,32638,t
63,Quartier Charaf,BALBALA,DJIBOUTI,1,32638,t
110,Quartier T12,BALBALA,DJIBOUTI,1,32638,t
84,Quartier T15,BALBALA,DJIBOUTI,1,32638,t
107,Quartier T3,BALBALA,DJIBOUTI,1,32638,t
88,Quartier T9,BALBALA,DJIBOUTI,1,32638,t
24,SANS NOM,BOULAOS,DJIBOUTI,1,32638,t
72,Secteur Jab-jab,BALBALA,DJIBOUTI,1,32638,t
99,Shabeley,BALBALA,DJIBOUTI,1,32638,t
109,Tora-bora,BALBALA,DJIBOUTI,1,32638,t
81,Vietnam,BALBALA,DJIBOUTI,1,32638,t
48,Wadagir,BOULAOS,DJIBOUTI,1,32638,t
95,Wahladaba Nord,BALBALA,DJIBOUTI,1,32638,t
105,Wahladaba Sud,BALBALA,DJIBOUTI,1,32638,t
60,Warabley,BALBALA,DJIBOUTI,1,32638,t
44,Zone Industrielle Sud,BOULAOS,DJIBOUTI,1,32638,t
