Id,Code,Name,Type
d2826a3f-dbaa-4515-8d73-cafaf4c73a70,OSM-148704475,Rue Quartier 7 bis,Rue
bfa5b4ed-aaf2-4ccd-9d3b-46d747a7931a,OSM-352595737,Rue Ayaan,Rue
0b5ae87f-443d-464b-b50b-edca49de4b78,OSM-352600309,Rue de Dakar,Rue
9fc6b183-a8dc-4d60-bf8a-99076aa44d0f,SIG-,Boulevard,Boulevard
749363d5-723e-49ea-8632-f87548a59ecd,SIG-1,BOULEVARD 1,Boulevard
35e0b805-5de6-4e85-9b46-5019a905885a,SIG-10,BOULEVARD 10,Boulevard
523cc894-fa15-46c3-8f05-0928aab2baf8,SIG-11,BOULEVARD 11,Boulevard
bf890805-53f4-4301-8608-23b27372112f,SIG-12,BOULEVARD 12,Boulevard
098a2b1e-861d-47d1-89cd-a176c352f496,SIG-13,BOULEVARD 13,Boulevard
4d8cc754-abf2-4e09-893b-5e2e1eef8128,SIG-14,BOULEVARD 14,Boulevard
0b4dca6a-2c32-45c3-9208-d681fa0ed639,SIG-15,BOULEVARD 15,Boulevard
38403472-a315-41c2-979d-47c46debb152,SIG-16,BOULEVARD 16,Boulevard
74a5b566-ba91-480a-a70c-c58acaa158cd,SIG-17,BOULEVARD 17,Boulevard
72959baf-d748-4720-84ce-7489bed0744c,SIG-18,BOULEVARD18,Boulevard
fc2e352e-553a-4218-ab34-8e1e9810c5f8,SIG-19,BOULEVARD 19,Boulevard
3751b124-25d6-4a10-ae4a-13035dd68b87,SIG-2,BOULEVARD 2,Boulevard
5561109c-9758-475e-bf28-803df520f3b5,SIG-20,BOULEVARD 20,Boulevard
6f04d707-1e11-4aa4-bca5-371b6a4ec414,SIG-21,BOULEVARD 21,Boulevard
cdda1e44-4961-4780-9459-094e9bd44db9,SIG-22,BOULEVARD 22,Boulevard
ef9c436d-668b-484d-8d20-3bb98704e9aa,SIG-227,RUE 227,Rue
1b5e7682-00e3-419a-a0ed-80c4172f36be,SIG-23,BOULEVARD 23,Boulevard
2d898743-7e95-49d7-8815-ede2c7b9d0d1,SIG-24,BOULEVARD 24,Boulevard
