ogc_fid,code_ilot,quartier_ville,commune_ville,lettre_ilot,groupe,surface_m2,lon,lat
3827,BALBALA-CHEICK MOUSSA-AX,CHEICK MOUSSA,BALBALA,AX,,0,43.115246,11.564814
4152,BALBALA-CITE HODAN-AZ,CITE HODAN,BALBALA,AZ,,0,43.097702,11.557894
4234,BALBALA-CITE HODAN-ED,CITE HODAN,BALBALA,ED,,0,43.093686,11.552720
5011,BALBALA-HAYABLEH-ABU,HAYABLEH,BALBALA,ABU,,0,43.099667,11.567538
5042,BALBALA-HAYABLEH-ACZ,HAYABLEH,BALBALA,ACZ,,0,43.097205,11.567345
5044,BALBALA-HAYABLEH-ADB,HAYABLEH,BALBALA,ADB,,0,43.098714,11.567223
5067,BALBALA-HAYABLEH-ADY,HAYABLEH,BALBALA,ADY,,1,43.102471,11.567048
5082,BALBALA-HAYABLEH-AEN,HAYABLEH,BALBALA,AEN,,0,43.096159,11.567150
5085,BALBALA-HAYABLEH-AEQ,HAYABLEH,BALBALA,AEQ,,0,43.094601,11.567069
5086,BALBALA-HAYABLEH-AER,HAYABLEH,BALBALA,AER,,0,43.098730,11.566518
5092,BALBALA-HAYABLEH-AEX,HAYABLEH,BALBALA,AEX,,0,43.100563,11.566601
5095,BALBALA-HAYABLEH-AFA,HAYABLEH,BALBALA,AFA,,0,43.087177,11.566590
5108,BALBALA-HAYABLEH-AFN,HAYABLEH,BALBALA,AFN,,0,43.093494,11.566719
5151,BALBALA-HAYABLEH-AHE,HAYABLEH,BALBALA,AHE,,0,43.093853,11.566505
5190,BALBALA-HAYABLEH-AIR,HAYABLEH,BALBALA,AIR,,0,43.088973,11.565600
5201,BALBALA-HAYABLEH-AJC,HAYABLEH,BALBALA,AJC,,0,43.101751,11.565720
5247,BALBALA-HAYABLEH-AKW,HAYABLEH,BALBALA,AKW,,0,43.102207,11.565330
5268,BALBALA-HAYABLEH-ALR,HAYABLEH,BALBALA,ALR,,0,43.092347,11.564942
5269,BALBALA-HAYABLEH-ALS,HAYABLEH,BALBALA,ALS,,0,43.098131,11.565012
5307,BALBALA-HAYABLEH-ANE,HAYABLEH,BALBALA,ANE,,0,43.090957,11.564639
5315,BALBALA-HAYABLEH-ANM,HAYABLEH,BALBALA,ANM,,0,43.089962,11.564533
5339,BALBALA-HAYABLEH-AOK,HAYABLEH,BALBALA,AOK,,0,43.092094,11.564081
5380,BALBALA-HAYABLEH-APZ,HAYABLEH,BALBALA,APZ,,0,43.095932,11.563607
5470,BALBALA-HAYABLEH-ATL,HAYABLEH,BALBALA,ATL,,0,43.096370,11.562321
5481,BALBALA-HAYABLEH-ATW,HAYABLEH,BALBALA,ATW,,0,43.087547,11.562152
5486,BALBALA-HAYABLEH-AUB,HAYABLEH,BALBALA,AUB,,0,43.087734,11.561905
4534,BALBALA-HAYABLEH-JL,HAYABLEH,BALBALA,JL,,0,43.105708,11.571636
4588,BALBALA-HAYABLEH-LN,HAYABLEH,BALBALA,LN,,0,43.098466,11.570955
4621,BALBALA-HAYABLEH-MU,HAYABLEH,BALBALA,MU,,0,43.102949,11.570701
4775,BALBALA-HAYABLEH-SS,HAYABLEH,BALBALA,SS,,0,43.103218,11.569342
4783,BALBALA-HAYABLEH-TA,HAYABLEH,BALBALA,TA,,2,43.100687,11.569774
4952,BALBALA-HAYABLEH-ZN,HAYABLEH,BALBALA,ZN,,0,43.100824,11.567974
5725,BALBALA-PK12-AT,PK12,BALBALA,AT,,0,43.082282,11.561981
6054,BALBALA-PK12-NK,PK12,BALBALA,NK,,0,43.082327,11.557530
6151,BALBALA-PK12-RD,PK12,BALBALA,RD,,7,43.084994,11.555973
6860,BALBALA-WAHLADABA S.-BH,WAHLADABA S.,BALBALA,BH,,0,43.106298,11.556592
6894,BALBALA-WAHLADABA S.-CP,WAHLADABA S.,BALBALA,CP,,0,43.105154,11.555322
