osm_type,osm_id,nom,categorie,sous_categorie,tag_source,lon,lat,m_hors_frontiere,wkt
way,778709662,1252,administration,service de l Etat,office=government,42.278246,12.622315,21758,POINT(42.2782461 12.6223151)
way,391581383,Poste frontière 1252 Erythrée - Éthiopie,administration,service de l Etat,office=government,42.279088,12.636665,22849,POINT(42.2790884 12.6366654)
way,553004644,Zeila Central Mosque,culte,lieu de culte,amenity=place_of_worship,43.473214,11.355427,26288,POINT(43.4732135 11.3554273)
node,5222780506,,culte,lieu de culte,amenity=place_of_worship,43.473177,11.355308,26291,POINT(43.4731769 11.3553077)
node,5222780507,,culte,lieu de culte,amenity=place_of_worship,43.473897,11.353884,26431,POINT(43.4738973 11.3538836)
node,12744906940,khayre Fuel Station,transport,station service,amenity=fuel,43.473065,11.352090,26440,POINT(43.473065 11.3520895)
node,11014073905,,hebergement,hotel,tourism=hotel,43.475457,11.353990,26578,POINT(43.4754571 11.35399)
way,1376499332,Zeila School,education,ecole,amenity=school,43.477690,11.355014,26747,POINT(43.4776899 11.3550138)
way,1376499330,Zeila Hospital,sante,hopital,amenity=hospital,43.477212,11.353682,26765,POINT(43.4772119 11.3536817)
way,1376499331,"Sa,Adudin Secunday School",education,ecole,amenity=school,43.477859,11.353961,26815,POINT(43.4778592 11.3539613)
way,1376499333,Zeila Boarding School,education,ecole,amenity=school,43.480903,11.349531,27331,POINT(43.4809034 11.3495306)
node,11014073906,,culture,centre communautaire,amenity=community_centre,43.447406,11.256463,29419,POINT(43.447406 11.256463)
node,11014074005,,culture,centre communautaire,amenity=community_centre,43.449434,11.256734,29591,POINT(43.4494338 11.2567338)
node,4695581016,,commerce,marche,amenity=marketplace,43.472770,12.721003,31455,POINT(43.4727703 12.7210026)
node,4695992020,,administration,organisation non gouvernementale,office=ngo,43.522264,12.685805,31592,POINT(43.5222644 12.6858054)
node,4695992015,,education,ecole,amenity=school,43.522989,12.687240,31762,POINT(43.5229886 12.68724)
node,4695581012,Bab al Mandab HU,sante,clinique,amenity=clinic,43.500755,12.713966,32526,POINT(43.5007551 12.7139658)
node,1226366037,Al Wahdah as Sihhiyah as Suqayya,sante,clinique,amenity=clinic,43.598044,12.751291,42512,POINT(43.598044 12.751291)
node,6542205687,,education,ecole,amenity=school,43.666432,12.734431,46826,POINT(43.6664322 12.7344313)
node,6542201387,,culte,lieu de culte,amenity=place_of_worship,43.687287,12.727269,48177,POINT(43.6872871 12.7272689)
