quartier,code,closes_attendues,blocs,adresses,blocs_par_close,restent_a_1_bloc
HAYABLEH,HY,325,1323,0,4.1,0
PK12,PK,137,540,0,3.9,0
Quartier 7,Q7,65,309,2564,4.8,0
WAHLADABA N.,WN,73,300,0,4.1,0
BALBALA ANCIEN,BN,40,259,0,6.5,0
Quartier 6,QC,36,231,2029,6.4,0
BALBALA Q 5,BQ,53,217,884,4.1,0
Quartier 4,QE,30,213,1631,7.1,0
Cheik Moussa,CM,43,209,473,4.9,0
Cité Progrès,CO,4,189,381,47.3,0
Quartier 3,QI,19,162,1388,8.5,0
CITE HODAN,CN,46,153,0,3.3,0
Ambouli,AM,8,150,1548,18.8,0
Quarawil,QU,18,141,47,7.8,0
Quartier 2,QT,17,140,894,8.2,0
T3,TA,35,138,0,3.9,0
Wahladaba Sud,WS,33,134,6,4.1,0
Quartier 5,QB,15,128,1102,8.5,0
Quartier 1,QR,14,127,547,9.1,0
BALBALA Q11,BL,26,121,0,4.7,0
Bahache,BA,29,121,59,4.2,0
BACHE A EAU,BE,13,107,0,8.2,0
Einguela,Ein,6,97,692,16.2,0
Cite Barwaqo,CB,19,89,863,4.7,0
Centre Commercial et Admnistratif,CC,18,88,249,4.9,0
Cité Saoudienne,CS,8,87,387,10.9,0
Djebel,DJ,8,81,1013,10.1,0
Quartier 7 Bis,QD,10,81,1594,8.1,0
Cité d' Arhiba,CR,12,68,847,5.7,0
Cité du Stade,CU,4,63,469,15.8,0
Cité F.N.P.,CF,13,55,161,4.2,0
Plateau du Serpent,PD,12,49,262,4.1,0
PHARE DE BALBALA,PE,8,48,0,6.0,0
Les Salines Ouest,LS,9,46,452,5.1,0
Haramous,HA,10,46,282,4.6,0
MIDJADHERE,MI,14,45,0,3.2,0
Cité Poudrière,CP,3,41,232,13.7,0
Gabode 3,GO,4,39,328,9.8,0
Marabout,MA,5,36,192,7.2,0
Zone Industrielle Sud,ZI,5,33,190,6.6,0
Cité Makka al Moukarama,CK,3,32,287,10.7,0
Lotissement du Quartier 7 Sud,LQ,7,30,187,4.3,0
Cité Cheikh Osman,CQ,6,30,0,5.0,0
Gabode 5,GE,6,29,197,4.8,0
Gabode 1,GA,7,27,87,3.9,0
Lotissement du Bourakibir,LU,5,26,70,5.2,0
Héron,HE,6,25,215,4.2,0
Cité Gachamaleh,CG,4,20,213,5.0,0
Guelleh Batal,GT,2,19,279,9.5,0
CITE HAYABLEY,CY,2,15,0,7.5,0
Quartier Brière de l'Isle,QL,3,15,17,5.0,0
Lotissement d' Ambouli,LD,3,14,139,4.7,0
Lotissement de la République,LA,3,13,70,4.3,0
Cité Wadagir 2,CT,3,11,71,3.7,0
Boulaos,BO,3,10,32,3.3,0
Lotissement de l' Aviation,LV,1,10,60,10.0,0
Cité Luxembourg,CL,3,10,32,3.3,0
CITE C. MOUSSA,CJ,1,9,0,9.0,0
Cité Willo,CE,1,9,121,9.0,0
Gabode 2,GB,2,8,158,4.0,0
Cité Wadagir 1,CW,2,7,159,3.5,0
La Plaine,LP,2,7,29,3.5,0
Gabode 4,GD,2,5,52,2.5,0
Lotissement de l'Aérogare,LE,1,4,111,4.0,0
Cité Hache,CH,1,3,9,3.0,0
DRY PORT,DP,1,2,23,2.0,0
Brise de mer 1,BD,1,2,27,2.0,0
Cimetière d' Ambouli,CA,1,2,14,2.0,0
Palmeraie,PA,1,2,9,2.0,0
Lotissement 55 Logements,LL,1,2,2,2.0,0
Wadagir,WA,1,1,57,1.0,1
13 éme DBLE,ED,1,1,2,1.0,1
Ilôt du Héron,ID,1,1,7,1.0,1
Pompage,PO,1,1,54,1.0,1
Cimetière,CI,1,1,1,1.0,1
