nom_osm,nom_referentiel,code_referentiel,recouvrement_pct,longueur_osm_m,longueur_ref_m
Avenue 23A,RUE 48,SIG-48,100,175,179
Avenue Al-Hamoudi,RUE ALI COUBECHE,SIG-ALI-COUBECHE,100,114,191
Avenue Ali Bahdon,AVENUE 26,SIG-26,100,2247,1267
Avenue Général Galleni,BLVD IDRISS OMAR GUELLEH,SIG-IDRISS-OMAR-GUELLEH,100,633,1030
Avenue Mohamed Farah Dirir Djanaleh,Av Med F.Dirieh dit djanaleh,SIG-MED-F-DIRIEH-DIT-DJANALEH,100,631,613
Rue d'Athènes,Blvd Bruxelle,SIG-BRUXELLE,100,339,335
Rue de Djibouti,RUE DE KHARTOUM,SIG-DE-KHARTOUM,100,219,215
Rue de Houmed Loita,Rue Houmed Loaita,SIG-HOUMED-LOAITA,100,950,951
Rue de Kartoum,RUE DE KAMPALA,SIG-DE-KAMPALA,100,228,226
Rue de Londres,RUE DE LONDRE,SIG-DE-LONDRE,100,376,366
Rue de Mogadicio,RUE DE NAIROBI,SIG-DE-NAIROBI,100,251,251
Rue de Mohamed Doura,Av. du  Heron,SIG-DU-HERON,100,1218,1219
Rue Gamal Abdel Nasser,AVENUE GAMAL  ABDEL NASSER,SIG-GAMAL-ABDEL-NASSER,100,2130,2026
Rue Isfahan,RUE HASSAN HOUSSEIN,SIG-HASSAN-HOUSSEIN,100,343,359
Rue Kairen Kayad Wador,RUE DE L'AMIRAL COURBET,SIG-DE-L-AMIRAL-COURBET,100,183,220
Rue Nazemi,RUE DE GUYNEMER,SIG-DE-GUYNEMER,100,109,102
Rue Pasteur,Mahamed Djama Elabah,SIG-MAHAMED-DJAMA-ELABAH,100,370,468
Avenue Georges Pompidou,AVENUE GEORGE PAMPIDOU,SIG-GEORGE-PAMPIDOU,99,2341,1287
Rue Prof. Roux,RUE DU PROFESSEUR ROUX,SIG-DU-PROFESSEUR-ROUX,99,435,418
Rue Bourhan Bey,Rue Bouhan Bey,SIG-BOUHAN-BEY,98,606,678
Rue Mohamed Dileita Chehem,Mohamed  Dileita Chehem,SIG-MOHAMED-DILEITA-CHEHEM,98,361,433
Rue Nelson Mandela,BLVD ACHAT BOGOREH,SIG-ACHAT-BOGOREH,98,2877,5258
Rue d'Addis Ababa,RUE D'ADDIS ABEBA,SIG-D-ADDIS-ABEBA,97,196,187
Rue de Madrid,RUE DE BRUXELLES,SIG-DE-BRUXELLES,97,169,148
Rue Cheikh Moussa,Av . Fukuzawa,SIG-FUKUZAWA,96,1232,1564
Rue d'Athènes,Rue de Athene,SIG-DE-ATHENE,86,339,381
Avenue Abdillahi D. Wais,AVENUE BRAZAVILLE,SIG-BRAZAVILLE,72,458,639
