source,ogc_fid,nom,type_revet,etat_chaus,longueur_m,lon,lat
voierie_tertiaire_non_bitumee,383,AVENUE10,,,26,43.149433,11.590304
voierie_tertiaire_non_bitumee,7,AVENUE 10,,,267,43.146892,11.589870
voierie_tertiaire_non_bitumee,382,AVENUE 10,,,140,43.148681,11.590173
voierie_tertiaire_non_bitumee,384,AVENUE 10,,,127,43.150125,11.590432
voierie_tertiaire_non_bitumee,20,AVENUE 15,,,177,43.148116,11.588228
voierie_tertiaire_non_bitumee,1136,AVENUE  15,,,263,43.150117,11.588491
voierie_tertiaire_non_bitumee,418,AVENUE 17,,,160,43.148286,11.587574
voierie_tertiaire_non_bitumee,1138,AVENUE  17,,,272,43.150247,11.587840
voierie_tertiaire_non_bitumee,271,AVENUE 2,,,39,43.148166,11.592401
voierie_tertiaire_non_bitumee,272,AVENUE 2,,,46,43.148802,11.592523
voierie_tertiaire_non_bitumee,273,AVENUE 2,,,15,43.149075,11.592579
voierie_tertiaire_non_bitumee,1141,AVENUE  20,,,365,43.150814,11.586834
voierie_tertiaire_non_bitumee,1142,AVENUE  21,,,369,43.150886,11.586378
voierie_tertiaire_non_bitumee,1143,AVENUE  22,,,234,43.150324,11.585953
voierie_tertiaire_non_bitumee,426,AVENUE 23,,,136,43.147087,11.585641
voierie_tertiaire_non_bitumee,1144,AVENUE  23,,,122,43.149883,11.585740
voierie_tertiaire_non_bitumee,1146,AVENUE  23,,,55,43.150710,11.585792
voierie_tertiaire_non_bitumee,428,AVENUE24,,,210,43.148378,11.585510
voierie_tertiaire_non_bitumee,1145,AVENUE  24,,,68,43.149999,11.585494
voierie_tertiaire_non_bitumee,431,AVENUE 25,,,64,43.149076,11.585357
voierie_tertiaire_non_bitumee,432,AVENUE 25,,,32,43.148181,11.585193
voierie_tertiaire_non_bitumee,1011,AVENUE 27,,,97,43.145823,11.583441
voierie_tertiaire_non_bitumee,16,AVENUE 3,,,118,43.147230,11.591937
voierie_tertiaire_non_bitumee,199,AVENUE4,,,103,43.148265,11.591865
voierie_tertiaire_non_bitumee,1,AVENUE 4,,,128,43.147269,11.591677
voierie_tertiaire_non_bitumee,4,AVENUE7,,,216,43.146984,11.590766
voierie_tertiaire_non_bitumee,279,AVENUE 7,,,259,43.149098,11.591147
voierie_tertiaire_non_bitumee,380,AVENUE8,,,206,43.149467,11.590926
voierie_tertiaire_non_bitumee,5,AVENUE 8,,,247,43.146887,11.590430
voierie_tertiaire_non_bitumee,379,AVENUE 8,,,63,43.148256,11.590702
voierie_tertiaire_non_bitumee,6,AVENUE 9,,,237,43.147476,11.590293
voierie_tertiaire_non_bitumee,381,AVENUE 9,,,146,43.149968,11.590561
voierie_tertiaire_non_bitumee,254,BOULEVARD 10,,,28,43.147219,11.592048
voierie_tertiaire_non_bitumee,260,BOULEVARD11,,,30,43.147580,11.590410
voierie_tertiaire_non_bitumee,13,BOULEVARD13,,,24,43.147570,11.592367
voierie_tertiaire_non_bitumee,14,BOULEVARD 13,,,27,43.147609,11.592139
voierie_tertiaire_non_bitumee,1131,BOULEVARD 16,,,140,43.149021,11.585691
voierie_tertiaire_non_bitumee,397,BOULEVARD 22,,,19,43.149516,11.590404
voierie_tertiaire_non_bitumee,400,BOULEVARD 23,,,31,43.149171,11.592456
voierie_tertiaire_non_bitumee,126,Boulevard 30,,,98,43.145595,11.578854
voierie_tertiaire_non_bitumee,242,Boulevard 30,,,60,43.145589,11.578139
voierie_tertiaire_non_bitumee,215,Boulevard 33,,,45,43.144964,11.578203
voierie_tertiaire_non_bitumee,125,Boulevard 39,,,126,43.143645,11.578244
voierie_tertiaire_non_bitumee,269,BOULEVARD5,,,82,43.146619,11.590003
